template_id,family,strategy,severity_in_yaml,owasp_category,current_cwe,current_cve,proposed_cwe,proposed_cve,cwe_diff,cve_diff,rules_fired
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_CONTEXT_POISONING_SEQUENTIAL_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,CONTEXT_POISONING_SEQUENTIAL_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-345,CWE-1284,CWE-693,CWE-501",,"+CWE-1284,CWE-345,CWE-501,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-345: Insufficient verification of data authenticity (poisoned RAG, unsigned messages) | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-501: Trust-boundary violation (RAG poisoning, indirect injection, context poisoning)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_CONTEXT_POISONING_TREE_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,CONTEXT_POISONING_TREE_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-345,CWE-1284,CWE-693,CWE-501",,"+CWE-1284,CWE-345,CWE-501,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-345: Insufficient verification of data authenticity (poisoned RAG, unsigned messages) | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-501: Trust-boundary violation (RAG poisoning, indirect injection, context poisoning)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_GOAL_REDIRECTION,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,GOAL_REDIRECTION,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693",,"+CWE-1284,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_GOAL_REDIRECTION_BAD_LIKERT_JUDGE,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,GOAL_REDIRECTION_BAD_LIKERT_JUDGE,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-754,CWE-1284,CWE-693",,"+CWE-1284,CWE-693,CWE-754 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-754: Improper check for unusual or exceptional conditions | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_GOAL_REDIRECTION_CRESCENDO_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,GOAL_REDIRECTION_CRESCENDO_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693",,"+CWE-1284,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_GOAL_REDIRECTION_LINEAR_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,GOAL_REDIRECTION_LINEAR_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693",,"+CWE-1284,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_GOAL_REDIRECTION_SEQUENTIAL_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,GOAL_REDIRECTION_SEQUENTIAL_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693",,"+CWE-1284,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_GOAL_REDIRECTION_TREE_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,GOAL_REDIRECTION_TREE_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693",,"+CWE-1284,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_INPUT_BYPASS,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,INPUT_BYPASS,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-20",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-180",,"+CWE-1284,CWE-180,CWE-693 -CWE-74",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-180: Validate-before-canonicalize ordering bug (input bypass via canonicalisation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_INPUT_BYPASS_BAD_LIKERT_JUDGE,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,INPUT_BYPASS_BAD_LIKERT_JUDGE,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-754,CWE-1284,CWE-693,CWE-20,CWE-180",,"+CWE-1284,CWE-180,CWE-20,CWE-693,CWE-754 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-754: Improper check for unusual or exceptional conditions | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-180: Validate-before-canonicalize ordering bug (input bypass via canonicalisation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_INPUT_BYPASS_CRESCENDO_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,INPUT_BYPASS_CRESCENDO_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-180",,"+CWE-1284,CWE-180,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-180: Validate-before-canonicalize ordering bug (input bypass via canonicalisation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_INPUT_BYPASS_LINEAR_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,INPUT_BYPASS_LINEAR_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-180",,"+CWE-1284,CWE-180,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-180: Validate-before-canonicalize ordering bug (input bypass via canonicalisation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_INPUT_BYPASS_SEQUENTIAL_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,INPUT_BYPASS_SEQUENTIAL_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-180",,"+CWE-1284,CWE-180,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-180: Validate-before-canonicalize ordering bug (input bypass via canonicalisation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_INPUT_BYPASS_TREE_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,INPUT_BYPASS_TREE_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-180",,"+CWE-1284,CWE-180,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-180: Validate-before-canonicalize ordering bug (input bypass via canonicalisation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_LEETSPEAK,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,LEETSPEAK,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-1007,CWE-184",,"+CWE-1007,CWE-1284,CWE-184,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-1007: Insufficient visual distinction of homoglyphs / leetspeak substitutions | CWE-184: Incomplete list of disallowed inputs (leetspeak/homoglyph/typo filter gap)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_LEETSPEAK_BAD_LIKERT_JUDGE,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,LEETSPEAK_BAD_LIKERT_JUDGE,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-754,CWE-1284,CWE-693,CWE-20,CWE-1007,CWE-184",,"+CWE-1007,CWE-1284,CWE-184,CWE-20,CWE-693,CWE-754 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-754: Improper check for unusual or exceptional conditions | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-1007: Insufficient visual distinction of homoglyphs / leetspeak substitutions | CWE-184: Incomplete list of disallowed inputs (leetspeak/homoglyph/typo filter gap)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_LEETSPEAK_CRESCENDO_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,LEETSPEAK_CRESCENDO_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-1007,CWE-184",,"+CWE-1007,CWE-1284,CWE-184,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-1007: Insufficient visual distinction of homoglyphs / leetspeak substitutions | CWE-184: Incomplete list of disallowed inputs (leetspeak/homoglyph/typo filter gap)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_LEETSPEAK_LINEAR_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,LEETSPEAK_LINEAR_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-1007,CWE-184",,"+CWE-1007,CWE-1284,CWE-184,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-1007: Insufficient visual distinction of homoglyphs / leetspeak substitutions | CWE-184: Incomplete list of disallowed inputs (leetspeak/homoglyph/typo filter gap)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_LEETSPEAK_SEQUENTIAL_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,LEETSPEAK_SEQUENTIAL_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-1007,CWE-184",,"+CWE-1007,CWE-1284,CWE-184,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-1007: Insufficient visual distinction of homoglyphs / leetspeak substitutions | CWE-184: Incomplete list of disallowed inputs (leetspeak/homoglyph/typo filter gap)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_LEETSPEAK_TREE_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,LEETSPEAK_TREE_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-1007,CWE-184",,"+CWE-1007,CWE-1284,CWE-184,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-1007: Insufficient visual distinction of homoglyphs / leetspeak substitutions | CWE-184: Incomplete list of disallowed inputs (leetspeak/homoglyph/typo filter gap)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_MATH_PROBLEM,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,MATH_PROBLEM,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20",,"+CWE-1284,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_MATH_PROBLEM_BAD_LIKERT_JUDGE,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,MATH_PROBLEM_BAD_LIKERT_JUDGE,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-754,CWE-1284,CWE-693,CWE-20",,"+CWE-1284,CWE-20,CWE-693,CWE-754 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-754: Improper check for unusual or exceptional conditions | CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_MATH_PROBLEM_CRESCENDO_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,MATH_PROBLEM_CRESCENDO_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20",,"+CWE-1284,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_MATH_PROBLEM_LINEAR_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,MATH_PROBLEM_LINEAR_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20",,"+CWE-1284,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_MATH_PROBLEM_SEQUENTIAL_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,MATH_PROBLEM_SEQUENTIAL_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20",,"+CWE-1284,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_MATH_PROBLEM_TREE_JAILBREAKING,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,MATH_PROBLEM_TREE_JAILBREAKING,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20",,"+CWE-1284,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation)"
BUSINESS_ALIGNMENT_COMPETITOR_CHECK_MULTILINGUAL,BUSINESS_ALIGNMENT_COMPETITOR_CHECK_,MULTILINGUAL,MEDIUM,AGENT_GOAL_HIJACK,"CWE-74,CWE-94",CVE-2024-5184,"CWE-1284,CWE-693,CWE-20,CWE-176",,"+CWE-1284,CWE-176,CWE-20,CWE-693 -CWE-74,CWE-94",-CVE-2024-5184,"CWE-1284: Improper validation of input quantity/structure (manipulation, off-topic, jailbreak) | CWE-693: Protection-mechanism failure (jailbreak, refusal bypass, RAG hijack) | CWE-20: Improper input validation (math, base64, leetspeak, input-bypass, multilingual obfuscation) | CWE-176: Improper handling of Unicode encoding (multilingual / RTL / homoglyph)"
